SMILES,PCE
CCCCCCOC1=CC(OCCCCCC)=CC(C2=C(C3=C(C4=CC(OCCCCCC)=CC(OCCCCCC)=C4)C=C(C4=CC=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S4)S3)SC(C3=CC=C(/C=C4\C(=O)C5=CC(F)=C(F)C=C5C4=C(C#N)C#N)S3)=C2)=C1,2.63
CCCCCCCCC(CCCCCC)COC1=CC(C2=CC(OCCCCCC)=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S2)=C(OCC(CCCCCC)CCCCCCCC)C=C1C1=CC(OCCCCCC)=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)S1,6.62
CCCCCCCCC(CCCCCC)COC1=CC(C2=CC=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S2)=C(OCC(CCCCCC)CCCCCCCC)C=C1C1=CC=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)S1,4.08
CCCCCCCCC(CCCCCC)COC1=CC(C2=CC(CCCCCC)=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S2)=C(OCC(CCCCCC)CCCCCCCC)C=C1C1=CC(CCCCCC)=C(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)S1,10.27
CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=C3OCCCOC3=C(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)S1)S2,6.02
CCCCCCOC1=C(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)SC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C1OCCCCCC,9.83
CCCCCCC1COC2=C(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)SC(C3=CC4=C(S3)C3=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)=C2O1,3.81
CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C2=C(C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC3=C2SC(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3)C=C1,15.3
CCCCCCCCCCCCCCCCN1C2=C(SC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C1=C(OCC(CC)CCCC)C3=C(C(OCC(CC)CCCC)=C1S2)C1=C(S3)C2=C(C=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S2)N1CCCCCCCCCCCCCCCC,5.67
CCCCCCCCC(CCCCCC)CN1C2=C(SC(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C1=C(OCC(CC)CCCC)C3=C(C(OCC(CC)CCCC)=C1S2)C1=C(S3)C2=C(C=C(/C=C3\C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)S2)N1CC(CCCCCC)CCCCCCCC,16.66
