index,SMILES,PCE
44,CCCCC(CC)COC(=O)/C(C#N)=C/C1=CC=C(C2=CC=C(C3=C4OCCOC4=C(C4=CC=C(C5=CC=C(/C=C(\C#N)C(=O)OCC(CC)CCCC)S5)S4)S3)S2)S1,1.85
45,CCCCC(CC)CN1C(=O)C(C#N)=C(C)/C(=C\C2=CC3=C(I2)C2=C(C=C(C4=CC=C(N(C5=CC=CC=C5)C5=CC=CC=C5)C=C4)B2)N3CC(CC)CCCC)C1=O,2.14
46,O=C(C(C=C(F)C(F)=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=C4C(OCCO4)=C(C5=CC6=C(C7=CC(C8(C9=CC=C(CCCCCC)C=C9)C%10=CC=C(CCCCCC)C=C%10)=C(C%11=C8C=C(C%12=C(OCCO%13)C%13=C(/C=C%14C(C(C=C(F)C(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)S%12)S%11)C=C7C6(C%16=CC=C(CCCCCC)C=C%16)C%17=CC=C(CCCCCC)C=C%17)S5)S3,11.32
47,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C4SC=CC4=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCC)CCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C4SC(Br)=CC4=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,14.51
48,CCCCCCC1=CC(C2=CC3=C(S2)C2=C(C=C(/C=C4\C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C(CCCCCC)C=C1C1=CC2=C(S1)C1=C(C=C(/C=C3\C(=O)C4=C(C=CC=C4)C3=C(C#N)C#N)S1)C2(CC(CC)CCCC)CC(CC)CCCC,11.1
49,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=CC4=C(C=C3C3=C2C=C(C2=NC=C(/C=C5/SC(=S)N(CC)C5=O)S2)S3)C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C4SC(C3=NC=C(/C=C4/SC(=S)N(CC)C4=O)S3)=C2)C=C1,5.01
50,O=C(C(C=CC(F)=C1)=C1C/2=C(C#N)/C#N)C2=C/C(S3)=CC4=C3C5=C(C(CC(CC)CCCC)(CC(CC)CCCC)O4)C=C6C(C(CC(CC)CCCC)(CC(CC)CCCC)OC7=C6SC(/C=C8C(C(C(F)=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)=C5,11.2
51,CC#CCC1=C2N=C3C=C4C(=CC3=NC2=C(C#CC)C2=NSN=C21)C1(C)CCC4(C)C2=CC3=NC4=C(C#CC)C5=NSN=C5C(C#CC)=C4N=C3C=C21,1.29
52,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=C4SC(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)=CC4=C3)C3=C2C2=C(S3)C3=C(S2)C2=C(C=C4C=C(/C=C5\C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)SC4=C2)C3(C2=CC=C(CCCCCC)C=C2)C2=CC=C(CCCCCC)C=C2)C=C1,8.42
53,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(C=CC(C4=CC=C(C5=CC=C(/C=C6/SC(=S)N(CC)C6O)C6=NSN=C56)S4)=C3)C3=C2C=C(C2=CC=C(/C=C4/SC(=S)N(CC)C4=O)C4=NSN=C24)S3)C=C1,8.4
54,CCC1(CC)C2=C(C=CC(/C=C/C3=CC(C)=C(/C(C4=C(C)C=C(C)C=C4C)=C4\N=C(/C=C/C5=CC=C(N(C)C)C=C5)C=C4C)N3B(F)F)=C2)C2=C1C1=C(C3=C2C(CC)(CC)C2=C3C=CC(/C=C/C3=CC(C)=C(/C(C4=C(C)C=C(C)C=C4C)=C4\N=C(/C=C/C5=CC=C(N(C)C)C=C5)C=C4C)N3B(F)F)=C2)C(CC)(CC)C2=C1C=CC(/C=C/C1=CC(C)=C(/C(C3=C(C)C=C(C)C=C3C)=C3\N=C(/C=C/C4=CC=C(N(C)C)C=C4)C=C3C)N1B(F)F)=C2,13.41
55,O=C(C1=CSC=C1C/2=C(C#N)\C#N)C2=C/C3=CC4=C(S3)C5=C(C6=CC(C7(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)=C(C%10=C7C(SC(/C=C%11C(C%12=CSC=C%12C\%11=C(C#N)/C#N)=O)=C%13)=C%13S%10)C=C6C5(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)S4,11.8
56,CCCCCCCCC1=C(C2=CC=C(CCCCCC)S2)SC(C2=CC=C(C3=CC(CCCCCCCC)=C(C4=CC(CC(CC)CCCC)=C(C5=NC6=C(N=C(C7=C(CC(CC)CCCC)C=C(C8=C(CCCCCCCC)C=C(C9=CC=C(C%10=CC(CCCCCCCC)=C(C%11=CC=C(CCCCCC)S%11)S%10)C%10=NSN=C9%10)S8)S7)S6)S5)S4)S3)C3=NSN=C23)=C1,1.64
